Id	AdmLevel	Country	AdmDiv1	AdmDiv2	GadmId	Latitude	Longitude	GadmName
BD__Chittagong	1	BD	Chittagong	-	BGD.2_1	22.72373982	91.74795072	Chittagong
CD__Kinshasa 	1	CD	Kinshasa 	-	COD.10_1	-4.436710157	15.9042405	Kinshasa
IN__Odisha 	1	IN	Odisha 	-	IND.26_1	20.50529858	84.41465498	Odisha
IN__Tripura 	1	IN	Tripura 	-	IND.33_1	23.74450157	91.74176511	Tripura
IN__West Bengal	1	IN	West Bengal	-	IND.36_1	23.90604738	87.94722714	West Bengal
KH__Pailin	1	KH	Pailin	-	KHM.12_1	12.87839082	102.6333357	Krong Pailin
KH__Pursat	1	KH	Pursat	-	KHM.17_1	12.36519369	103.6362984	Pouthisat
KH__Preah Vihear	1	KH	Preah Vihear	-	KHM.18_1	13.79796006	105.0079487	Preah Vih<U+00E9>ar
KH__Battambang 	1	KH	Battambang 	-	KHM.2_1	12.97918303	103.1016575	Batd<U+00E2>mb<U+00E2>ng
KH__Ratanakiri	1	KH	Ratanakiri	-	KHM.20_1	13.79291373	107.087046	R<U+00F4>t<U+00E2>n<U+00F4>kiri
KH__Steung Treng	1	KH	Steung Treng	-	KHM.22_1	13.80339418	106.1768497	St<U+0153>ng Tr<U+00EA>ng
LA__Attapeu	1	LA	Attapeu	-	LAO.1_1	14.79385453	106.9450757	Attapu
LA__Salavan	1	LA	Salavan	-	LAO.11_1	15.84839441	106.273702	Saravan
LA__Savannakhet	1	LA	Savannakhet	-	LAO.12_1	16.55372321	105.7057024	Savannakh<U+00E9>t
LA__Sekong	1	LA	Sekong	-	LAO.17_1	15.58201923	107.0391144	X<U+00E9>kong
LA__Champasak	1	LA	Champasak	-	LAO.4_1	14.77168604	105.960564	Champasak
MM__Rakhine	1	MM	Rakhine	-	MMR.11_1	19.76782805	93.7464609	Rakhine
MM__Tanintharyi	1	MM	Tanintharyi	-	MMR.14_1	12.7680151	98.79511641	Tanintharyi
MM__Bago	1	MM	Bago	-	MMR.2_1	18.30026091	96.12972383	Bago
MM__Kachin	1	MM	Kachin	-	MMR.4_1	26.07383705	97.34742773	Kachin
MM__Kayin	1	MM	Kayin	-	MMR.6_1	17.14131385	97.7973441	Kayin
MM__Mandalay	1	MM	Mandalay	-	MMR.8_1	21.20363338	96.00383729	Mandalay
TH__Ranong	1	TH	Ranong	-	THA.51_1	9.970920167	98.70587749	Ranong
TH__Sisakhet	1	TH	Sisakhet	-	THA.62_1	14.85594665	104.3713888	Si Sa Ket
TH__Tak	1	TH	Tak	-	THA.69_1	16.7149525	98.79105004	Tak
TH__Ubon Ratchathani	1	TH	Ubon Ratchathani	-	THA.72_1	15.18318778	105.1128713	Ubon Ratchathani
VN__Binh Phuoc	1	VN	Binh Phuoc	-	VNM.10_1	11.75531672	106.9085431	B<U+00EC>nh Ph<U+01B0><U+1EDB>c
VN__Dak Lak	1	VN	Dak Lak	-	VNM.15_1	12.82458823	108.2069876	<U+0110><U+1EAF>k L<U+1EAF>k
VN__Dak Nong	1	VN	Dak Nong	-	VNM.16_1	12.22799878	107.6886396	<U+0110><U+1EAF>k N<U+00F4>ng
